date,kospi_ret
2017-01-02,-0.0001
2017-01-03,0.0088
2017-01-04,0.0008
2017-01-05,-0.0018
2017-01-06,0.0035
2017-01-09,-0.0002
2017-01-10,-0.0018
2017-01-11,0.0147
2017-01-12,0.0058
2017-01-13,-0.005
2017-01-16,-0.0061
2017-01-17,0.0037
2017-01-18,-0.0006
2017-01-19,0.0011
2017-01-20,-0.0035
2017-01-23,0.0002
2017-01-24,-0.0001
2017-01-25,0.0006
2017-01-26,0.0081
2017-01-31,-0.0077
2017-02-01,0.0062
2017-02-02,-0.0046
2017-02-03,0.001
2017-02-06,0.0022
2017-02-07,-0.0012
2017-02-08,-0.0049
2017-02-09,0.0004
2017-02-10,0.0045
2017-02-13,0.0017
2017-02-14,-0.002
2017-02-15,0.0045
2017-02-16,-0.001
2017-02-17,-0.0006
2017-02-20,0.0018
2017-02-21,0.0089
2017-02-22,0.0018
2017-02-23,0.0005
2017-02-24,-0.0064
2017-02-27,-0.0041
2017-02-28,0.0029
2017-03-02,0.0053
2017-03-03,-0.0114
2017-03-06,0.0013
2017-03-07,0.0061
2017-03-08,0.0006
2017-03-09,-0.0021
2017-03-10,0.003
2017-03-13,0.0097
2017-03-14,0.0076
2017-03-15,-0.0004
2017-03-16,0.008
2017-03-17,0.0067
2017-03-20,-0.0035
2017-03-21,0.0099
2017-03-22,-0.0046
2017-03-23,0.002
2017-03-24,-0.0017
2017-03-27,-0.0061
2017-03-28,0.0035
2017-03-29,0.0017
2017-03-30,-0.0011
2017-03-31,-0.002
2017-04-03,0.0034
2017-04-04,-0.003
2017-04-05,-0.0001
2017-04-06,-0.0037
2017-04-07,-0.0005
2017-04-10,-0.0086
2017-04-11,-0.0044
2017-04-12,0.0024
2017-04-13,0.0093
2017-04-14,-0.0064
2017-04-17,0.0051
2017-04-18,0.0013
2017-04-19,-0.0047
2017-04-20,0.005
2017-04-21,0.0074
2017-04-24,0.004
2017-04-25,0.0106
2017-04-26,0.005
2017-04-27,0.0007
2017-04-28,-0.0018
2017-05-02,0.0065
2017-05-04,0.0097
2017-05-08,0.023
2017-05-10,-0.0099
